franchiseID,review_date,chunked_text,chunk_id,review_uri
3000000,2024-06-03T20:38:11.002Z,"""Underwhelming experience at Bakehouse in Bondi Beach, Sydney. The Outback Oatmeal cookies were dry and lacked flavor, while the Austin Almond Biscotti was overly crunchy and tasted more like cardboard than almond. The Orchard Oasis cookies were a confusing mix of sweet and savory, and the Golden Gate Ginger snaps were too spicy. The Tokyo Tidbits were the only decent option, but even those were overpriced. And don't even get me started on the Pearly Pies - the crust was soggy and the filling was bland. Disappointing visit, won't be back.""",e80a3df7c3be16a95bd17380d040d453,s3://us-west-2-extstaging-managed-catalog-test-bucket-1/19a85dee-54bc-43a2-87ab-023d0ec16013/tables/dfc444c3-9af1-4c78-84eb-9020bacadff2
3000001,2024-06-03T20:38:11.002Z,"**1/5 stars**

Disappointing experience at Bakehouse in Shibuya, Tokyo. The Outback Oatmeal cookies were dry and lacked flavor, while the Austin Almond Biscotti were overly crunchy and tasted more like cardboard than almond. The Orchard Oasis cookies promised a fruity twist but delivered only a bland, sugary mess. The Golden Gate Ginger snaps were the final nail in the coffin - stale and devoid of any ginger zing. The Tokyo Tidbits assortment was a confusing mix of flavors, and the Pearly Pies were a sad, soggy excuse for a dessert. Overpriced and underwhelming. Won't be back.",ad6a5a3d7b2c3a7180de322b8b577f50,s3://us-west-2-extstaging-managed-catalog-test-bucket-1/19a85dee-54bc-43a2-87ab-023d0ec16013/tables/dfc444c3-9af1-4c78-84eb-9020bacadff2
3000002,2024-06-03T20:38:11.002Z,"""Underwhelming experience at Bakehouse in the Mission district of San Francisco. The Outback Oatmeal cookies were dry and lacked flavor, while the Austin Almond Biscotti were overly crunchy and tasted more like cardboard than almond. The Orchard Oasis cookies had an unpleasant aftertaste and the Golden Gate Ginger snaps were too spicy. The Tokyo Tidbits were the only decent option, but even those were overpriced. And don't even get me started on the Pearly Pies - the crust was soggy and the filling was bland. For a bakery in the heart of SF, I expected so much more. Disappointing!""",e60b37f619c6c11c29afa3141c30c01f,s3://us-west-2-extstaging-managed-catalog-test-bucket-1/19a85dee-54bc-43a2-87ab-023d0ec16013/tables/dfc444c3-9af1-4c78-84eb-9020bacadff2
3000003,2024-06-03T20:38:11.002Z,"""Underwhelming experience at Bakehouse in Fitzroy, Melbourne. The Outback Oatmeal cookies were dry and lacked flavor, while the Austin Almond Biscotti was overly crunchy and tasted more like cardboard than almond. The Orchard Oasis cookies were a confusing mix of sweet and savory, and the Golden Gate Ginger was overpowering. The Tokyo Tidbits were the only decent option, but even those were overpriced. And don't even get me started on the Pearly Pies - stale crust and bland filling. Disappointing for a bakery with such a great location. 2/5 stars""",5799647e51ec66083e9cd70172f2c0f7,s3://us-west-2-extstaging-managed-catalog-test-bucket-1/19a85dee-54bc-43a2-87ab-023d0ec16013/tables/dfc444c3-9af1-4c78-84eb-9020bacadff2
3000004,2024-06-03T20:38:11.002Z,"**Disappointing Experience at Bakehouse in Kitano, Kobe**

I was excited to try Bakehouse in Kitano, Kobe, but unfortunately, their products fell short of my expectations. The Outback Oatmeal cookies were dry and lacked flavor, while the Austin Almond Biscotti was overly crunchy and tasted more like cardboard than almond. The Orchard Oasis cookies were overly sweet and had an unpleasant aftertaste. The Golden Gate Ginger cookies were the only decent option, but even those were nothing special. The Tokyo Tidbits were a confusing mix of flavors and textures, and the Pearly Pies were a sad, soggy mess. For the price, I expected much better quality and taste. Won't be returning to this Bakehouse anytime soon.",7b8c185cf1af0a36f21494f1b9cb7127,s3://us-west-2-extstaging-managed-catalog-test-bucket-1/19a85dee-54bc-43a2-87ab-023d0ec16013/tables/dfc444c3-9af1-4c78-84eb-9020bacadff2
3000005,2024-06-03T20:38:11.002Z,"""Underwhelming experience at Bakehouse in Silver Lake, LA. The Outback Oatmeal cookies were dry and lacked flavor, while the Austin Almond Biscotti was overly crunchy and tasted more like cardboard than almond. The Orchard Oasis cookies were a confusing mix of sweet and savory, and the Golden Gate Ginger snaps were too spicy. The Tokyo Tidbits were the only decent option, but even those were overpriced. And don't even get me started on the Pearly Pies - the crust was soggy and the filling was bland. For a bakery in trendy Silver Lake, I expected so much more. Disappointing!""",e1b28fe305a6d42ef3b44b730e82cf73,s3://us-west-2-extstaging-managed-catalog-test-bucket-1/19a85dee-54bc-43a2-87ab-023d0ec16013/tables/dfc444c3-9af1-4c78-84eb-9020bacadff2
3000006,2024-06-03T20:38:11.002Z,"""Underwhelming experience at Bakehouse in West End, Brisbane. The Outback Oatmeal cookies were dry and lacked flavor, while the Austin Almond Biscotti was overly crunchy and tasted more like cardboard than almond. The Orchard Oasis cookies were a confusing mix of sweet and savory, and the Golden Gate Ginger was overpowering. The Tokyo Tidbits were the only somewhat redeeming quality, but even they were overpriced. And don't even get me started on the Pearly Pies - stale and flavorless. Disappointing for a bakery with such promise. 2/5 stars""",15cd547db33a0af8ffd37db6103c2ead,s3://us-west-2-extstaging-managed-catalog-test-bucket-1/19a85dee-54bc-43a2-87ab-023d0ec16013/tables/dfc444c3-9af1-4c78-84eb-9020bacadff2
3000007,2024-06-03T20:38:11.002Z,"**Disappointing Experience at Bakehouse Gion, Kyoto**

I was thrilled to stumble upon Bakehouse in Gion, Kyoto, but my excitement was short-lived. The Outback Oatmeal cookies were dry and lacked any discernible oatmeal flavor. The Austin Almond Biscotti was overly crunchy and tasted more like cardboard than almond. The Orchard Oasis, touted as a fruity delight, was instead a bland, sugary mess. The Golden Gate Ginger was the final nail in the coffin - it was like eating a mouthful of soap. The Tokyo Tidbits and Pearly Pies didn't fare much better. Overpriced and underwhelming, I won't be back. 2/5 stars",8099e8e7b2e27aa15b4d4d9f27a8f8da,s3://us-west-2-extstaging-managed-catalog-test-bucket-1/19a85dee-54bc-43a2-87ab-023d0ec16013/tables/dfc444c3-9af1-4c78-84eb-9020bacadff2
3000008,2024-06-03T20:38:11.002Z,"""Underwhelming experience at Bakehouse in Wicker Park, Chicago. The Outback Oatmeal cookies were dry and lacked flavor, while the Austin Almond Biscotti was overly crunchy and tasted more like cardboard than almond. The Orchard Oasis cookies were a confusing mix of sweet and savory, and the Golden Gate Ginger snaps were too spicy. The Tokyo Tidbits were the only decent option, but even those were overpriced. And don't even get me started on the Pearly Pies - the crust was soggy and the filling was bland. For a bakery in trendy Wicker Park, I expected so much more. Disappointing!""",08a9bd56a58883a31b9a5318a4feb045,s3://us-west-2-extstaging-managed-catalog-test-bucket-1/19a85dee-54bc-43a2-87ab-023d0ec16013/tables/dfc444c3-9af1-4c78-84eb-9020bacadff2
3000009,2024-06-03T20:38:11.002Z,"""Underwhelming experience at Bakehouse in Leederville, Perth. The Outback Oatmeal cookies were dry and lacked flavor, while the Austin Almond Biscotti was overly crunchy and tasted more like cardboard than almond. The Orchard Oasis cookies were a confusing mix of sweet and savory, and the Golden Gate Ginger was overpowering. The Tokyo Tidbits were the only decent option, but even those were overpriced. And don't even get me started on the Pearly Pies - the crust was soggy and the filling was bland. Disappointing visit, won't be back.""",7bd23858ca9045278fd6e8e9bdb50967,s3://us-west-2-extstaging-managed-catalog-test-bucket-1/19a85dee-54bc-43a2-87ab-023d0ec16013/tables/dfc444c3-9af1-4c78-84eb-9020bacadff2
3000000,2024-06-03T20:39:20.847Z,"""Underwhelming experience at Bakehouse in Bondi Beach, Sydney. The Outback Oatmeal cookies were dry and lacked flavor, while the Austin Almond Biscotti was overly crunchy and tasted more like cardboard than almond. The Orchard Oasis cookies were a confusing mix of sweet and savory, and the Golden Gate Ginger snaps were too spicy. The Tokyo Tidbits were the only decent option, but even those were overpriced. And don't even get me started on the Pearly Pies - the crust was soggy and the filling was bland. Disappointing for a bakery in such a trendy location. 2/5 stars""",fd1f7f7069a8594ea7f59ccd4d1990f9,s3://us-west-2-extstaging-managed-catalog-test-bucket-1/19a85dee-54bc-43a2-87ab-023d0ec16013/tables/dfc444c3-9af1-4c78-84eb-9020bacadff2
